text,category
 The Great Gatsby  ,Fiction
To Kill a Mockingbird   ,Fiction
A Brief History of Time  ,Non-Fiction
The Origin of Species  ,Non-Fiction
10-Day Green Smoothie Cleanse,Non-Fiction
11/22/63: A Novel,Fiction
12 Rules for Life: An Antidote to Chaos,Non-Fiction
1984 (Signet Classics),Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Non-Fiction
A Dance with Dragons (A Song of Ice and Fire),Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fiction
A Gentleman in Moscow: A Novel,Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",Non-Fiction
A Man Called Ove: A Novel,Fiction
A Man Called Ove: A Novel,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Non-Fiction
A Stolen Life: A Memoir,Non-Fiction
A Wrinkle in Time (Time Quintet),Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Non-Fiction
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Non-Fiction
Adult Coloring Book: Stress Relieving Animal Designs,Non-Fiction
Adult Coloring Book: Stress Relieving Patterns,Non-Fiction
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisleyâ€¦",Non-Fiction
Alexander Hamilton,Non-Fiction
All the Light We Cannot See,Fiction
All the Light We Cannot See,Fiction
Allegiant,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Non-Fiction
And the Mountains Echoed,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Non-Fiction
Astrophysics for People in a Hurry,Non-Fiction
"Autobiography of Mark Twain, Vol. 1",Non-Fiction
Baby Touch and Feel: Animals,Non-Fiction
Balance (Angie's Extreme Stress Menders),Non-Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Non-Fiction
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Non-Fiction
Becoming,Non-Fiction
Becoming,Non-Fiction
Being Mortal: Medicine and What Matters in the End,Non-Fiction
Between the World and Me,Non-Fiction
Between the World and Me,Non-Fiction
Born to Run,Non-Fiction
"Breaking Dawn (The Twilight Saga, Book 4)",Fiction
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Non-Fiction
"Brown Bear, Brown Bear, What Do You See?",Fiction
"Brown Bear, Brown Bear, What Do You See?",Fiction
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Fiction
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Non-Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,Non-Fiction
Capital in the Twenty First Century,Non-Fiction
Catching Fire (The Hunger Games),Fiction
Catching Fire (The Hunger Games),Fiction
Catching Fire (The Hunger Games),Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Non-Fiction
Crazy Love: Overwhelmed by a Relentless God,Non-Fiction
Crazy Love: Overwhelmed by a Relentless God,Non-Fiction
Crazy Love: Overwhelmed by a Relentless God,Non-Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Non-Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Non-Fiction
Cutting for Stone,Fiction
Cutting for Stone,Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Non-Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Non-Fiction
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Fiction
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Fiction
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fiction
Dear Zoo: A Lift-the-Flap Book,Fiction
Dear Zoo: A Lift-the-Flap Book,Fiction
Dear Zoo: A Lift-the-Flap Book,Fiction
Dear Zoo: A Lift-the-Flap Book,Fiction
Decision Points,Non-Fiction
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Non-Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Non-Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Non-Fiction
"Diary of a Wimpy Kid: Hard Luck, Book 8",Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Fiction
Diary of a Wimpy Kid: The Long Haul,Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),Non-Fiction
Divergent,Fiction
Divergent,Fiction
Divergent / Insurgent,Fiction
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and Allâ€¦",Non-Fiction
Doctor Sleep: A Novel,Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Fiction
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Fiction
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Fiction
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Fiction
Double Down (Diary of a Wimpy Kid #11),Fiction
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Non-Fiction
Drive: The Surprising Truth About What Motivates Us,Non-Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Non-Fiction
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Non-Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Non-Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Non-Fiction
Eclipse (Twilight Sagas),Fiction
Eclipse (Twilight),Fiction
Educated: A Memoir,Non-Fiction
Educated: A Memoir,Non-Fiction
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Printsâ€¦",Non-Fiction
Fahrenheit 451,Fiction
Fahrenheit 451,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),Fiction
Fear: Trump in the White House,Non-Fiction
Fifty Shades Darker,Fiction
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Fiction
Fire and Fury: Inside the Trump White House,Non-Fiction
First 100 Words,Non-Fiction
First 100 Words,Non-Fiction
First 100 Words,Non-Fiction
First 100 Words,Non-Fiction
First 100 Words,Non-Fiction
Food Rules: An Eater's Manual,Non-Fiction
Frozen (Little Golden Book),Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Non-Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fiction
George Washington's Sacred Fire,Non-Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Non-Fiction
Giraffes Can't Dance,Fiction
Giraffes Can't Dance,Fiction
Giraffes Can't Dance,Fiction
Giraffes Can't Dance,Fiction
Giraffes Can't Dance,Fiction
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Non-Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Non-Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Non-Fiction
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Non-Fiction
Go Set a Watchman: A Novel,Fiction
